شناسه پرسش,پرسش,نوع داده,برچسب,سری,مقدار,جزئیات
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,9,عقل,4.0,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,10,عقل,10.6,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,11,عقل,5.2,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,12,عقل,7.4,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,13,عقل,5.6,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,14,عقل,4.1,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,15,عقل,1.3,رخداد شاعرمتوازن در ده‌هزار واژه
night-or-day,شعر فارسی شب‌دوست‌تر است یا روزدوست؟,grouped,عشق و معشوق,شب و شبانگاه,25.3,رخداد زمینه‌ای در هر صد لنگر
night-or-day,شعر فارسی شب‌دوست‌تر است یا روزدوست؟,grouped,غم و اندوه,شب و شبانگاه,6.8,رخداد زمینه‌ای در هر صد لنگر
night-or-day,شعر فارسی شب‌دوست‌تر است یا روزدوست؟,grouped,شادی و بزم,شب و شبانگاه,2.2,رخداد زمینه‌ای در هر صد لنگر
night-or-day,شعر فارسی شب‌دوست‌تر است یا روزدوست؟,grouped,طبیعت,شب و شبانگاه,6.3,رخداد زمینه‌ای در هر صد لنگر
night-or-day,شعر فارسی شب‌دوست‌تر است یا روزدوست؟,grouped,دین و عرفان,شب و شبانگاه,3.1,رخداد زمینه‌ای در هر صد لنگر
night-or-day,شعر فارسی شب‌دوست‌تر است یا روزدوست؟,grouped,عشق و معشوق,روز و بامداد,20.4,رخداد زمینه‌ای در هر صد لنگر
night-or-day,شعر فارسی شب‌دوست‌تر است یا روزدوست؟,grouped,غم و اندوه,روز و بامداد,6.0,رخداد زمینه‌ای در هر صد لنگر
night-or-day,شعر فارسی شب‌دوست‌تر است یا روزدوست؟,grouped,شادی و بزم,روز و بامداد,4.1,رخداد زمینه‌ای در هر صد لنگر
night-or-day,شعر فارسی شب‌دوست‌تر است یا روزدوست؟,grouped,طبیعت,روز و بامداد,6.7,رخداد زمینه‌ای در هر صد لنگر
night-or-day,شعر فارسی شب‌دوست‌تر است یا روزدوست؟,grouped,دین و عرفان,روز و بامداد,3.3,رخداد زمینه‌ای در هر صد لنگر
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,3,نشانه‌های غم,40.6,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,4,نشانه‌های غم,26.2,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,5,نشانه‌های غم,48.8,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,6,نشانه‌های غم,39.3,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,7,نشانه‌های غم,43.9,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,8,نشانه‌های غم,38.2,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,9,نشانه‌های غم,64.8,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,10,نشانه‌های غم,59.4,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,11,نشانه‌های غم,46.9,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,12,نشانه‌های غم,55.9,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,13,نشانه‌های غم,33.8,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,14,نشانه‌های غم,50.9,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,15,نشانه‌های غم,63.7,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,3,نشانه‌های شادی,42.7,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,4,نشانه‌های شادی,20.0,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,5,نشانه‌های شادی,17.3,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,6,نشانه‌های شادی,12.3,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,7,نشانه‌های شادی,12.8,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,8,نشانه‌های شادی,14.3,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,9,نشانه‌های شادی,16.6,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,10,نشانه‌های شادی,14.2,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,11,نشانه‌های شادی,12.1,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,12,نشانه‌های شادی,18.3,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,13,نشانه‌های شادی,11.4,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,14,نشانه‌های شادی,15.0,رخداد شاعرمتوازن در ده‌هزار واژه
sadness-or-joy,آیا شعر فارسی واقعاً غمگین‌تر از شاد است؟,trend,15,نشانه‌های شادی,10.8,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,3,صدای فردی: من,100.7,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,4,صدای فردی: من,87.0,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,5,صدای فردی: من,126.0,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,6,صدای فردی: من,117.7,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,7,صدای فردی: من,129.3,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,8,صدای فردی: من,101.8,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,9,صدای فردی: من,131.0,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,10,صدای فردی: من,111.3,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,11,صدای فردی: من,121.5,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,12,صدای فردی: من,130.6,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,13,صدای فردی: من,108.7,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,14,صدای فردی: من,172.8,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,15,صدای فردی: من,128.6,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,3,صدای جمعی: ما,18.8,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,4,صدای جمعی: ما,25.6,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,5,صدای جمعی: ما,25.3,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,6,صدای جمعی: ما,23.5,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,7,صدای جمعی: ما,46.4,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,8,صدای جمعی: ما,75.5,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,9,صدای جمعی: ما,31.4,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,10,صدای جمعی: ما,52.1,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,11,صدای جمعی: ما,88.0,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,12,صدای جمعی: ما,33.6,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,13,صدای جمعی: ما,46.0,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,14,صدای جمعی: ما,47.8,رخداد شاعرمتوازن در ده‌هزار واژه
i-or-we,صدای شعر فارسی بیشتر «من» است یا «ما»؟,trend,15,صدای جمعی: ما,35.6,رخداد شاعرمتوازن در ده‌هزار واژه
questioning-poets,کدام شاعران بیشتر با پرسش‌واژه‌ها فکر می‌کنند؟,ranking,پروین اعتصامی,,167.7,1187
questioning-poets,کدام شاعران بیشتر با پرسش‌واژه‌ها فکر می‌کنند؟,ranking,عراقی,,145.2,1108
questioning-poets,کدام شاعران بیشتر با پرسش‌واژه‌ها فکر می‌کنند؟,ranking,سیمین بهبهانی,,139.4,541
questioning-poets,کدام شاعران بیشتر با پرسش‌واژه‌ها فکر می‌کنند؟,ranking,خواجوی کرمانی,,131.0,1658
questioning-poets,کدام شاعران بیشتر با پرسش‌واژه‌ها فکر می‌کنند؟,ranking,فیض کاشانی,,129.1,1778
questioning-poets,کدام شاعران بیشتر با پرسش‌واژه‌ها فکر می‌کنند؟,ranking,اوحدی,,127.2,2578
questioning-poets,کدام شاعران بیشتر با پرسش‌واژه‌ها فکر می‌کنند؟,ranking,هلالی جغتایی,,125.1,569
questioning-poets,کدام شاعران بیشتر با پرسش‌واژه‌ها فکر می‌کنند؟,ranking,حافظ,,123.0,890
questioning-poets,کدام شاعران بیشتر با پرسش‌واژه‌ها فکر می‌کنند؟,ranking,بهرام سالکی,,121.4,329
questioning-poets,کدام شاعران بیشتر با پرسش‌واژه‌ها فکر می‌کنند؟,ranking,مهدی اخوان ثالث,,115.7,396
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,3,گذشته,2.2,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,4,گذشته,1.2,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,5,گذشته,2.3,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,6,گذشته,3.4,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,7,گذشته,3.4,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,8,گذشته,4.8,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,9,گذشته,3.7,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,10,گذشته,6.4,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,11,گذشته,5.0,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,12,گذشته,10.0,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,13,گذشته,5.7,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,14,گذشته,7.4,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,15,گذشته,7.4,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,3,اکنون,9.4,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,4,اکنون,4.7,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,5,اکنون,8.8,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,6,اکنون,10.2,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,7,اکنون,6.3,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,8,اکنون,7.0,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,9,اکنون,8.5,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,10,اکنون,5.6,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,11,اکنون,4.4,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,12,اکنون,7.4,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,13,اکنون,6.6,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,14,اکنون,8.1,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,15,اکنون,0.7,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,3,آینده,0.7,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,4,آینده,2.9,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,5,آینده,2.5,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,6,آینده,4.5,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,7,آینده,1.6,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,8,آینده,2.8,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,9,آینده,2.4,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,10,آینده,1.5,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,11,آینده,1.4,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,12,آینده,3.1,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,13,آینده,1.4,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,14,آینده,3.2,رخداد شاعرمتوازن در ده‌هزار واژه
time-direction,شعر فارسی بیشتر رو به گذشته دارد، اکنون یا آینده؟,trend,15,آینده,1.6,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,3,راه و سفر,8.7,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,4,راه و سفر,15.3,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,5,راه و سفر,15.1,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,6,راه و سفر,15.5,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,7,راه و سفر,12.6,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,8,راه و سفر,16.1,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,9,راه و سفر,15.9,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,10,راه و سفر,17.9,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,11,راه و سفر,18.3,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,12,راه و سفر,11.4,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,13,راه و سفر,11.7,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,14,راه و سفر,19.8,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,15,راه و سفر,18.5,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,3,خانه و وطن,15.2,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,4,خانه و وطن,13.7,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,5,خانه و وطن,11.1,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,6,خانه و وطن,10.8,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,7,خانه و وطن,11.3,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,8,خانه و وطن,10.8,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,9,خانه و وطن,14.0,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,10,خانه و وطن,11.3,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,11,خانه و وطن,14.6,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,12,خانه و وطن,12.2,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,13,خانه و وطن,10.8,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,14,خانه و وطن,16.3,رخداد شاعرمتوازن در ده‌هزار واژه
road-or-home,شعر فارسی بیشتر در راه است یا در خانه؟,trend,15,خانه و وطن,26.8,رخداد شاعرمتوازن در ده‌هزار واژه
poetry-colors,پالت رنگی شعر فارسی با کدام رنگ آغاز می‌شود؟,ranking,سیاه,,2661,63
poetry-colors,پالت رنگی شعر فارسی با کدام رنگ آغاز می‌شود؟,ranking,آبی و نیلی,,2221,63
poetry-colors,پالت رنگی شعر فارسی با کدام رنگ آغاز می‌شود؟,ranking,سبز,,1653,56
poetry-colors,پالت رنگی شعر فارسی با کدام رنگ آغاز می‌شود؟,ranking,سفید و سپید,,1526,61
poetry-colors,پالت رنگی شعر فارسی با کدام رنگ آغاز می‌شود؟,ranking,زرد,,1479,62
poetry-colors,پالت رنگی شعر فارسی با کدام رنگ آغاز می‌شود؟,ranking,زرین و طلایی,,1469,55
poetry-colors,پالت رنگی شعر فارسی با کدام رنگ آغاز می‌شود؟,ranking,سرخ و قرمز,,1432,62
poetry-colors,پالت رنگی شعر فارسی با کدام رنگ آغاز می‌شود؟,ranking,بنفش و ارغوانی,,259,37
poetry-birds,کدام پرنده بیشتر در آسمان شعر فارسی دیده می‌شود؟,ranking,مرغ (نام عام پرنده),,3484,65
poetry-birds,کدام پرنده بیشتر در آسمان شعر فارسی دیده می‌شود؟,ranking,بلبل و عندلیب,,2854,58
poetry-birds,کدام پرنده بیشتر در آسمان شعر فارسی دیده می‌شود؟,ranking,کبوتر، قمری و فاخته,,1090,61
poetry-birds,کدام پرنده بیشتر در آسمان شعر فارسی دیده می‌شود؟,ranking,طوطی,,974,48
poetry-birds,کدام پرنده بیشتر در آسمان شعر فارسی دیده می‌شود؟,ranking,کلاغ و زاغ,,710,53
poetry-birds,کدام پرنده بیشتر در آسمان شعر فارسی دیده می‌شود؟,ranking,شاهین و عقاب,,663,49
poetry-birds,کدام پرنده بیشتر در آسمان شعر فارسی دیده می‌شود؟,ranking,هما,,478,27
poetry-birds,کدام پرنده بیشتر در آسمان شعر فارسی دیده می‌شود؟,ranking,طاووس,,379,33
poetry-birds,کدام پرنده بیشتر در آسمان شعر فارسی دیده می‌شود؟,ranking,هدهد,,114,26
poetry-birds,کدام پرنده بیشتر در آسمان شعر فارسی دیده می‌شود؟,ranking,گنجشک,,101,30
shared-places,کدام نام‌های جغرافیایی میان شاعران بیشتری سفر کرده‌اند؟,ranking-poets,مصر,,1029,43
